---------------------
Round 0
---------------------
Training Points - 4000
Test Accuracy - 87.74
Training
Epoch:2- training accuracy:0.1645- training loss:tensor(2.3126, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:5- training accuracy:0.5795- training loss:tensor(1.2599, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:6- training accuracy:0.689- training loss:tensor(0.4354, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:7- training accuracy:0.751- training loss:tensor(0.6393, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:8- training accuracy:0.8055- training loss:tensor(0.3157, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:9- training accuracy:0.81675- training loss:tensor(0.6221, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:10- training accuracy:0.809- training loss:tensor(0.2900, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:11- training accuracy:0.83725- training loss:tensor(0.4197, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:12- training accuracy:0.85775- training loss:tensor(0.5087, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:13- training accuracy:0.8605- training loss:tensor(0.3286, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:14- training accuracy:0.8735- training loss:tensor(0.4126, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:15- training accuracy:0.876- training loss:tensor(0.1902, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:16- training accuracy:0.887- training loss:tensor(0.4339, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:17- training accuracy:0.88925- training loss:tensor(0.2067, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:18- training accuracy:0.89825- training loss:tensor(0.1275, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:19- training accuracy:0.90575- training loss:tensor(0.3264, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:20- training accuracy:0.9165- training loss:tensor(0.4941, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:21- training accuracy:0.9145- training loss:tensor(0.1503, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:22- training accuracy:0.91125- training loss:tensor(0.1310, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:23- training accuracy:0.91775- training loss:tensor(0.2149, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:24- training accuracy:0.93125- training loss:tensor(0.0948, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:25- training accuracy:0.92375- training loss:tensor(0.3100, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:26- training accuracy:0.921- training loss:tensor(0.1733, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:27- training accuracy:0.93375- training loss:tensor(0.2586, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:28- training accuracy:0.94275- training loss:tensor(0.1873, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:29- training accuracy:0.93875- training loss:tensor(0.0777, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:30- training accuracy:0.94475- training loss:tensor(0.1562, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:31- training accuracy:0.945- training loss:tensor(0.2398, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:32- training accuracy:0.9405- training loss:tensor(0.2351, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:33- training accuracy:0.949- training loss:tensor(0.2069, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:34- training accuracy:0.95525- training loss:tensor(0.3050, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:35- training accuracy:0.9615- training loss:tensor(0.1032, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:36- training accuracy:0.9655- training loss:tensor(0.1004, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:37- training accuracy:0.967- training loss:tensor(0.3762, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:38- training accuracy:0.96275- training loss:tensor(0.0896, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:39- training accuracy:0.96025- training loss:tensor(0.0548, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:40- training accuracy:0.965- training loss:tensor(0.4541, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:41- training accuracy:0.96875- training loss:tensor(0.0489, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:42- training accuracy:0.96775- training loss:tensor(0.1090, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:43- training accuracy:0.9685- training loss:tensor(0.0545, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:44- training accuracy:0.9755- training loss:tensor(0.1289, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:45- training accuracy:0.977- training loss:tensor(0.0256, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:46- training accuracy:0.9775- training loss:tensor(0.0689, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:47- training accuracy:0.9745- training loss:tensor(0.0053, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:48- training accuracy:0.97125- training loss:tensor(0.0139, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:49- training accuracy:0.97625- training loss:tensor(0.0768, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:50- training accuracy:0.981- training loss:tensor(0.1619, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:51- training accuracy:0.9775- training loss:tensor(0.0821, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:52- training accuracy:0.983- training loss:tensor(0.0851, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:53- training accuracy:0.9845- training loss:tensor(0.0456, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:54- training accuracy:0.986- training loss:tensor(0.0172, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:55- training accuracy:0.98575- training loss:tensor(0.0189, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:56- training accuracy:0.98725- training loss:tensor(0.1160, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:57- training accuracy:0.98675- training loss:tensor(0.1708, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:58- training accuracy:0.989- training loss:tensor(0.0269, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:59- training accuracy:0.99275- training loss:tensor(0.0291, device='cuda:0', grad_fn=<NllLossBackward0>)
---------------------
Round 0
---------------------
Training Points - 4000
Test Accuracy - 87.05
Training
Epoch:2- training accuracy:0.17325- training loss:tensor(2.4360, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:3- training accuracy:0.3245- training loss:tensor(1.3843, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:4- training accuracy:0.471- training loss:tensor(1.2833, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:5- training accuracy:0.65- training loss:tensor(0.6730, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:6- training accuracy:0.73075- training loss:tensor(1.0957, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:7- training accuracy:0.7605- training loss:tensor(0.6520, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:8- training accuracy:0.79575- training loss:tensor(0.7116, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:9- training accuracy:0.823- training loss:tensor(0.3235, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:10- training accuracy:0.828- training loss:tensor(1.3412, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:11- training accuracy:0.84275- training loss:tensor(0.5025, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:12- training accuracy:0.8505- training loss:tensor(0.4920, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:13- training accuracy:0.87175- training loss:tensor(0.3038, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:14- training accuracy:0.88325- training loss:tensor(0.3119, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:15- training accuracy:0.88025- training loss:tensor(0.5521, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:16- training accuracy:0.89575- training loss:tensor(0.3172, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:17- training accuracy:0.8965- training loss:tensor(0.3004, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:18- training accuracy:0.9085- training loss:tensor(0.2621, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:19- training accuracy:0.90375- training loss:tensor(0.3234, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:20- training accuracy:0.913- training loss:tensor(0.0716, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:21- training accuracy:0.9145- training loss:tensor(0.1193, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:22- training accuracy:0.91575- training loss:tensor(0.1214, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:23- training accuracy:0.92575- training loss:tensor(0.3047, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:24- training accuracy:0.92975- training loss:tensor(0.1936, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:25- training accuracy:0.931- training loss:tensor(0.1799, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:26- training accuracy:0.93575- training loss:tensor(0.0990, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:27- training accuracy:0.93675- training loss:tensor(0.2564, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:28- training accuracy:0.942- training loss:tensor(0.1516, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:29- training accuracy:0.943- training loss:tensor(0.1911, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:30- training accuracy:0.94025- training loss:tensor(0.4110, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:31- training accuracy:0.94925- training loss:tensor(0.2619, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:32- training accuracy:0.9525- training loss:tensor(0.1635, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:33- training accuracy:0.95175- training loss:tensor(0.1345, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:34- training accuracy:0.953- training loss:tensor(0.1403, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:35- training accuracy:0.9615- training loss:tensor(0.1842, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:36- training accuracy:0.95675- training loss:tensor(0.1341, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:37- training accuracy:0.958- training loss:tensor(0.1193, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:38- training accuracy:0.9655- training loss:tensor(0.1743, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:39- training accuracy:0.968- training loss:tensor(0.0227, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:40- training accuracy:0.96875- training loss:tensor(0.2381, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:41- training accuracy:0.967- training loss:tensor(0.2758, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:42- training accuracy:0.97275- training loss:tensor(0.2301, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:43- training accuracy:0.9695- training loss:tensor(0.0548, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:44- training accuracy:0.96775- training loss:tensor(0.0765, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:45- training accuracy:0.97725- training loss:tensor(0.0208, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:46- training accuracy:0.9775- training loss:tensor(0.0290, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:47- training accuracy:0.979- training loss:tensor(0.0057, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:48- training accuracy:0.98125- training loss:tensor(0.1596, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:49- training accuracy:0.983- training loss:tensor(0.0080, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:50- training accuracy:0.98125- training loss:tensor(0.0868, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:51- training accuracy:0.97825- training loss:tensor(0.0318, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:52- training accuracy:0.98725- training loss:tensor(0.0348, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:53- training accuracy:0.9885- training loss:tensor(0.0398, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:54- training accuracy:0.98525- training loss:tensor(0.0166, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:55- training accuracy:0.98625- training loss:tensor(0.1195, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:56- training accuracy:0.9895- training loss:tensor(0.0224, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:57- training accuracy:0.98675- training loss:tensor(0.1209, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:58- training accuracy:0.98975- training loss:tensor(0.0411, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:59- training accuracy:0.9915- training loss:tensor(0.0513, device='cuda:0', grad_fn=<NllLossBackward0>)
---------------------
Round 0
---------------------
Training Points - 4000
Test Accuracy - 87.13
Training
Epoch:2- training accuracy:0.1655- training loss:tensor(2.2986, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:3- training accuracy:0.3085- training loss:tensor(1.6292, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:4- training accuracy:0.45375- training loss:tensor(1.4148, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:5- training accuracy:0.569- training loss:tensor(0.9496, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:6- training accuracy:0.6885- training loss:tensor(0.7446, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:7- training accuracy:0.7455- training loss:tensor(0.3679, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:8- training accuracy:0.78425- training loss:tensor(0.9134, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:9- training accuracy:0.8035- training loss:tensor(0.6197, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:10- training accuracy:0.824- training loss:tensor(0.3265, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:11- training accuracy:0.8375- training loss:tensor(0.6859, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:12- training accuracy:0.8595- training loss:tensor(0.5357, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:13- training accuracy:0.8655- training loss:tensor(0.5421, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:14- training accuracy:0.874- training loss:tensor(0.4638, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:15- training accuracy:0.8755- training loss:tensor(0.5202, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:16- training accuracy:0.88725- training loss:tensor(0.3613, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:17- training accuracy:0.9065- training loss:tensor(0.4037, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:18- training accuracy:0.89725- training loss:tensor(0.3034, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:19- training accuracy:0.912- training loss:tensor(0.0957, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:20- training accuracy:0.91475- training loss:tensor(0.2502, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:21- training accuracy:0.9205- training loss:tensor(0.2435, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:22- training accuracy:0.914- training loss:tensor(0.5588, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:23- training accuracy:0.91575- training loss:tensor(0.1806, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:24- training accuracy:0.92625- training loss:tensor(0.1326, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:25- training accuracy:0.92525- training loss:tensor(0.1337, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:26- training accuracy:0.94175- training loss:tensor(0.1752, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:27- training accuracy:0.9395- training loss:tensor(0.1630, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:28- training accuracy:0.9385- training loss:tensor(0.3452, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:29- training accuracy:0.94225- training loss:tensor(0.1381, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:30- training accuracy:0.94875- training loss:tensor(0.1979, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:31- training accuracy:0.9435- training loss:tensor(0.0991, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:32- training accuracy:0.9495- training loss:tensor(0.0314, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:33- training accuracy:0.9505- training loss:tensor(0.2578, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:34- training accuracy:0.95325- training loss:tensor(0.0803, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:35- training accuracy:0.9615- training loss:tensor(0.2354, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:36- training accuracy:0.96325- training loss:tensor(0.1689, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:37- training accuracy:0.965- training loss:tensor(0.1151, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:38- training accuracy:0.97- training loss:tensor(0.0442, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:39- training accuracy:0.9635- training loss:tensor(0.0612, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:40- training accuracy:0.96525- training loss:tensor(0.2693, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:41- training accuracy:0.96375- training loss:tensor(0.0388, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:42- training accuracy:0.9745- training loss:tensor(0.0307, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:43- training accuracy:0.97175- training loss:tensor(0.0661, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:44- training accuracy:0.97875- training loss:tensor(0.2518, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:45- training accuracy:0.96575- training loss:tensor(0.0101, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:46- training accuracy:0.97275- training loss:tensor(0.0567, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:47- training accuracy:0.97525- training loss:tensor(0.0479, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:48- training accuracy:0.97775- training loss:tensor(0.1090, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:49- training accuracy:0.9775- training loss:tensor(0.2347, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:50- training accuracy:0.98275- training loss:tensor(0.0434, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:51- training accuracy:0.9825- training loss:tensor(0.1362, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:52- training accuracy:0.9825- training loss:tensor(0.0132, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:53- training accuracy:0.988- training loss:tensor(0.0314, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:54- training accuracy:0.98975- training loss:tensor(0.0664, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:55- training accuracy:0.9895- training loss:tensor(0.0761, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:56- training accuracy:0.98525- training loss:tensor(0.0906, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:57- training accuracy:0.98825- training loss:tensor(0.0119, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:58- training accuracy:0.98875- training loss:tensor(0.0150, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:59- training accuracy:0.988- training loss:tensor(0.0249, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:60- training accuracy:0.992- training loss:tensor(0.0042, device='cuda:0', grad_fn=<NllLossBackward0>)
---------------------
Round 0
---------------------
Training Points - 4000
Test Accuracy - 87.17
Training
Epoch:2- training accuracy:0.173- training loss:tensor(2.2238, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:3- training accuracy:0.266- training loss:tensor(2.0902, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:4- training accuracy:0.3615- training loss:tensor(1.7094, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:5- training accuracy:0.4855- training loss:tensor(1.1191, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:6- training accuracy:0.59875- training loss:tensor(1.0887, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:7- training accuracy:0.70375- training loss:tensor(0.7801, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:8- training accuracy:0.74925- training loss:tensor(0.6202, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:9- training accuracy:0.78425- training loss:tensor(0.5613, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:10- training accuracy:0.812- training loss:tensor(0.3613, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:11- training accuracy:0.825- training loss:tensor(0.6426, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:12- training accuracy:0.836- training loss:tensor(0.5730, device='cuda:0', grad_fn=<NllLossBackward0>)
